name,overall_rating,potential,national_team,national_rating
R. Callachan,61,66,,
J. Shipley,61,71,,
A. Kenyon,61,63,,
P. Petrović,61,66,,
A. Pattison,61,70,,
Liu Yang,61,63,,
L. Agoume,61,85,,
K. Yoshino,61,67,,
M. Rocca,61,69,,
I. Chair,61,75,,
A. Al Khulaif,61,73,,
R. Wulle,61,68,,
Li Songyi,61,64,,
J. Romil,61,68,,
T. Smith,61,67,,
E. Oyeleke,61,64,,
J. Tuominen,61,69,,
T. Hudson-Wihongi,61,67,,
J. Cook,61,61,,
D. Gyollai,61,74,,
J. Partington,61,61,,
S. Al Qeshtah,61,63,,
A. Domínguez,61,61,,
A. Tozzo,61,64,,
Víctor Ruiz,61,64,,
L. Kramer,61,75,,
G. Guerrieri,61,68,,
N. Salazar,61,61,,
L. Wilkinson,61,62,,
R. Harley,61,61,,
N. Heidemann,61,66,,
A. Yamga,61,70,,
A. Ceesay,61,68,,
Dome,61,66,,
N. Tiknizyan,61,74,,
D. Fitzpatrick,61,61,,
A. Hazazi,61,66,,
Y. Al Musallam,61,61,,
Iván Martín,61,74,,
Y. Tolosa,61,74,,
D. Lanius,61,69,,
T. Eyoma,61,79,,
M. Feigenspan,61,69,,
G. Coke,61,61,,
Y. Otayn,61,62,,
M. Hazazi,61,61,,
B. Bvuma,61,70,,
S. Facey,61,68,,
H. Johansen,61,64,,
B. Chibani,61,72,,
João Virgínia,61,79,,
T. Čvančara,61,83,,
Iván,61,70,,
M. O'Leary,61,72,,
J. Hildebrandt,61,68,,
M. Dimun,61,74,,
P. Ernesto,61,75,,
F. Quiroz,61,73,,
S. Lebus,61,71,,
M. Rodas,61,69,,
T. Goppel,61,70,,
N. Bishop,61,76,,
Y. Gutiérrez,61,61,,
Dani Sandoval,61,74,,
L. Ameka Autchanga,61,71,,
Luis Díaz,61,67,,
Z. Dearnley,61,76,,
Kim Yong Jin,61,66,,
Iago Indias,61,67,,
Eric Curbelo,61,67,,
M. Warcholak,61,61,,
Álvaro Vallés,61,69,,
Kiki,61,69,,
T. Bonga,61,69,,
M. Pawelec,61,61,,
M. Sarkaria,61,69,,
A. Samuel,61,66,,
J. Mäder,61,69,,
M. Ortega,61,71,,
D. Turnbull,61,80,,
K. Koussou,61,62,,
J. Klinsmann,61,75,,
Álex Mozo,61,70,,
J. McCourt,61,66,,
T. Björkström,61,61,,
E. Gutiérrez,61,69,,
F. Arbeláez,61,68,,
B. Gaye,61,73,,
Y. Mamilonne,61,62,,
J. Torres,61,74,,
N. Andereggen,61,79,,
S. van Hooijdonk,61,75,,
M. Harness,61,69,,
A. Pinga,61,73,,
Aitor Lorea,61,77,,
M. Gardawski,61,61,,
Liu Weidong,61,61,,
Brian Torres,61,73,,
A. Dønnum,61,71,,
T. Johnson,61,73,,
P. Will,61,77,,
O. Petrak,61,62,,
A. Brorsson,61,70,,
M. Mara,61,69,,
Ryu Jae Moon,61,65,,
M. Awoudja,61,72,,
Álex Dos Santos,61,75,,
J. Thorsen,61,61,,
D. Tuma,61,68,,
B. Koglin,61,70,,
Wang Fan,61,61,,
C. Villanueva,61,76,,
S. Amuzie,61,68,,
M. Funk,61,70,,
Fran Sánchez,61,61,,
J. Hessenthaler,61,63,,
Kun Temenuzhkov,61,76,,
S. Mladenovic,61,67,,
S. Ando,61,62,,
T. Galdames,61,72,,
H. Dunk,61,61,,
S. Ntiya-Ntiya,61,69,,
M. Barnofsky,61,66,,
H. Charsley,61,69,,
Zheng Dalun,61,64,,
A. Al Saleh,61,61,,
K. Etuhu,61,61,,
A. Amaya,61,81,,
A. Komolong,61,63,,
B. Moore,61,65,,
M. Payares,61,70,,
A. López,61,71,,
M. Al Mania,61,70,,
D. Kulusevski,61,77,,
N. Okafor,61,81,,
Sergio Pérez,61,71,,
M. Busi,61,74,,
F. Saavedra,61,69,,
P. Kotal,61,66,,
K. Appin,61,70,,
L. Bolton,61,78,,
N. Laursen,61,72,,
B. Garmston,61,63,,
B. Kindsvater,61,62,,
Angel Sánchez,61,69,,
E. Orona,61,74,,
A. Kartalis,61,65,,
D. Tchamba,61,74,,
N. Atangana,61,61,,
T. Vollnhofer,61,61,,
T. Rocha,61,66,,
S. Finley,61,64,,
M. Kanabah,61,65,,
T. Robinet,61,73,,
C. Dickinson,61,61,,
C. Köppel,61,65,,
I. Aaneba,61,72,,
I. Ugbo,61,76,,
T. Nakagawa,61,62,,
K. Skaanes,61,70,,
L. Maniero,61,67,,
G. Mensah,61,72,,
P. Da Silva,61,78,,
L. Fritzson,61,67,,
W. Burger,61,79,,
Campos,61,65,,
R. Charles-Cook,61,64,,
W. Cuesta,61,65,,
R. Margaret,61,76,,
Guillamón,61,79,,
L. Abdulahi,61,69,,
L. Cueto,61,69,,
B. Källman,61,70,,
N. Jackson,61,70,,
Cordero,61,66,,
A. Riccardi,61,86,,
M. Toye,61,76,,
Chen Binbin,61,74,,
C. Thomas,61,66,,
A. Mansilla,61,71,,
E. Edwards Jr.,61,65,,
D. Thomas,61,69,,
A. Arboleda,61,61,,
J. Beste,61,77,,
C. Dilo,61,67,,
N. Fernández,61,77,,
A. Dobre,61,73,,
G. Maris,61,72,,
R. Yamasaki,61,63,,
G. Hatano,61,74,,
M. Harzan,61,61,,
Jeong Dong Yun,61,66,,
J. Ibehre,61,61,,
Song Soo Yeong,61,61,,
M. Sykes,61,70,,
R. González,61,68,,
Kim Gyeong Min,61,64,,
A. Paşcanu,61,77,Romania,72
M. Piccinocchi,61,69,,
B. Lepistu,61,66,,
Liu Zhenli,61,61,,
F. Benko,61,76,,
L. Garguła,61,61,,
L. Marić,61,61,,
A. Khormi,61,61,,
D. Orlishausen,61,61,,
Y. Clementia,61,72,,
L. Lauberbach,61,69,,
Yun Ju Tae,61,61,,
A. Zendejas,61,71,,
D. Rogers,61,69,,
F. Geisler,61,70,,
B. Bödvarsson,61,68,,
G. Sicurella,61,67,,
J. Tymon,61,78,,
C. O'Malley,61,68,,
S. Klaas,61,75,,
G. Gül,61,75,,
K. Zapolnik,61,64,,
J. Vollert,61,72,,
I. Hajtić,61,72,,
K. Gipson,61,67,,
J. Sierra,61,72,,
Y. Orozco,61,65,,
Z. Bakayogo,61,61,,
R. de la Rosa,61,79,,
B. Figueroa,61,78,,
A. Nilsson,61,61,,
B. Güngör,61,76,,
J. Torres,61,76,,
P. Erhardt,61,64,,
M. Schüler,61,69,,
L. Gerlspeck,61,73,,
F. Brügmann,61,64,,
Park Jun Hyeong,61,66,,
M. Kolar,61,67,,
S. Strømnes,61,61,,
I. Al Maghrabi,61,62,,
F. Drinkuth,61,66,,
D. Horkaš,61,76,,
B. Waters,61,64,,
N. Hernández,61,79,,
B. Diakité,61,72,,
H. Adıgüzel,61,77,,
P. Halder,61,65,,
F. Aliti,61,68,,
S. Ramizi,61,61,,
J. McGlashan,61,61,,
K. Velasco,61,68,,
Jeong Woo Yeong,61,80,,
Wang Jinxian,61,66,,
A. Lupu,61,73,,
J. Burkardt,61,80,,
S. Bennett,61,63,,
G. Smith,61,71,,
J. Porsan-Clémenté,61,69,,
N. Mohammad,61,63,,
Sergio Tienza,61,71,,
M. Ošs,61,64,,
S. Mohlin,61,70,,
W. Hesl,61,61,,
N. Phillips,61,74,,
R. Lopes,61,62,,
P. Knechtel,61,73,,
S. McLoughlin,61,73,,
C. Harries,61,76,,
N. Lemus,61,61,,
B. Bingham,61,61,,
Park Ilgyu,61,62,,
F. Otárola,61,61,,
M. Al Baqawi,61,70,,
S. Hart,61,71,,
E. Vignato,61,80,,
Y. Akgün,61,79,,
A. May,61,65,,
P. Kpozo,61,68,,
P. Berg,61,66,,
K. Drzazga,61,65,,
N. Al Dawsari,61,78,,
M. Bridge,61,61,,
S. Kchouk,61,66,,
H. Al Shuwaysh,61,61,,
C. Dagnall,61,61,,
J. Sterry,61,69,,
T. Miller,61,61,,
Lucas Perri,61,75,,
M. Foulds,61,74,,
Oriol Ayala,61,68,,
T. Elrich,61,61,,
E. Cicerelli,61,66,,
H. Souttar,61,78,,
Anderson Emanuel,61,73,,
J. Kübler,61,79,,
A. Nicholls,61,61,,
D. Sołdecki,61,61,,
B. Tozer,61,61,,
A. Donkor,61,75,,
J. Ayala,61,61,,
R. Durán,61,73,,
N. Beyer,61,70,,
P. O'Connor,61,72,,
D. Markey,61,73,,
C. Dyson,61,69,,
R. Hunt,61,69,,
M. Cortés,61,72,,
E. Nolan,61,61,,
Javi Vázquez,61,74,,
W. Bracamonte,61,73,,
J. Wallens,61,66,,
R. Prieto,61,71,,
J. Estrada,61,74,,
P. Struijk,61,74,,
A. Sevinç,61,75,,
B. White,61,73,,
Kim Ji Min,61,64,,
P. Amond,62,62,,
I. Drešević,62,71,,
E. Parish,62,62,,
A. Adouyev,62,79,,
M. McNulty,62,62,,
L. Price,62,62,,
F. Motori,62,67,,
S. Adekoya,62,68,,
R. Kaib,62,68,,
I. Cissé,62,71,,
P. Pflücke,62,71,,
T. Takagi,62,64,,
M. Zemzemi,62,76,,
A. Dabo,62,84,,
A. Ildız,62,70,,
M. Nakkim,62,70,,
L. Bender,62,62,,
M. Frankoch,62,72,,
N. Arena,62,73,,
M. Brouwer,62,65,,
C. Kane,62,68,,
J. Champness,62,72,,
C. Brittain,62,79,,
G. Miller,62,71,,
S. Polat,62,74,,
T. Doornbusch,62,75,,
L. Collins,62,62,,
E. Ogude,62,67,,
Zheng Kaimu,62,65,,
A. Al Nazera,62,65,,
J. Shea,62,63,,
V. Drchal,62,77,,
J. O'Brien,62,62,,
T. Field,62,70,,
E. Kupen,62,62,,
D. Šarić,62,72,,
J. Papaleo,62,70,,
E. Dahlin,62,64,,
N. Burns,62,62,,
D. Kozica,62,65,,
N. Sakurauchi,62,62,,
A. McCarey,62,66,,
L. Reddy,62,62,,
A. Gallo,62,82,,
M. Kryeziu,62,73,,
D. Jubitana,62,74,,
L. Hemmerich,62,75,,
R. Duraković,62,68,,
M. Marić,62,69,,
F. Krüger,62,73,,
P. Choroba,62,69,,
M. Nani,62,76,,
M. Vallecilla,62,62,,
J. Marulanda,62,71,,
Y. Nakasaka,62,67,,
A. Hasegawa,62,62,,
J. Verdugo,62,72,,
J. Smith,62,62,,
D. Gonzalez,62,76,,
B. Al Seliteen,62,62,,
I. Osbourne,62,62,,
Álex,62,82,,
M. Erlic,62,71,,
B. Burns,62,79,,
O. Dytyatev,62,62,,
R. Sawakami,62,66,,
Kim Geon Ung,62,74,,
Borja Domingo,62,70,,
M. Romero,62,68,,
Y. Ma-Kalambay,62,62,,
R. Murray,62,63,,
Miguel Ángel,62,72,,
A. Al Najjar,62,74,,
M. Siabanis,62,73,,
M. McGlinchey,62,62,Central Coast Mariners,63
M. Festa,62,65,,
H. Davis,62,65,,
J. O'Doherty,62,68,,
K. Shimura,62,71,,
K. Jacobs,62,62,,
Alberto Redondo,62,72,,
H. Robstad,62,62,,
A. Tideman,62,63,,
B. Clarke,62,62,,
Aarón,62,69,,
E. Ávila,62,62,,
A. Caceres,62,64,,
L. Walthert,62,62,,
Baba Fernandes,62,74,,
T. Siekman,62,63,,
Chechu Grana,62,68,,
Y. Kimoto,62,67,,
H. Kyprianou,62,69,,
A. Tanaka,62,71,,
G. Rodríguez,62,67,,
Nguyễn Công Phượng,62,69,,
G. Vicario,62,71,,
O. Framelin,62,68,,
M. Maranda,62,72,,
C. Humphreys-Grant,62,77,,
T. Conlon,62,66,,
A. Silva,62,66,,
C. Duffus,62,69,,
G. Jansson,62,62,,
M. Al Dhaw,62,65,,
G. Rogers,62,62,,
S. Balić,62,62,,
A. Roldan,62,71,,
Kike,62,68,,
K. Sterling,62,75,,
A. Vaikla,62,74,,
F. Ahumada,62,72,,
I. Buckley-Ricketts,62,73,,
C. Gameiro,62,65,,
A. Groiß,62,72,,
A. Ndiaye,62,80,,
A. Al Sdairy,62,62,,
M. Phaeton,62,77,,
C. Sabaly,62,79,,
J. Wehrmann,62,75,,
J. Araya,62,73,,
Kim Dae Gyeong,62,62,,
M. Nogueira,62,71,,
Lucas Rodrigues,62,71,,
I. Moreno,62,72,,
N. Bazzana,62,70,,
K. Fujimoto,62,62,,
K. Al Barakah,62,62,,
D. Williams,62,62,,
V. Pinson,62,69,,
G. Crociata,62,76,,
Choi Hyun Tae,62,62,,
S. Sørli,62,68,,
A. Ramsdale,62,76,,
S. Takahashi,62,64,,
T. Antalyalı,62,67,,
M. Fischer,62,70,,
L. Matarese,62,74,,
A. Mangan,62,62,,
E. Bajrami,62,63,,
Edgar,62,72,,
Zhu Ting,62,62,,
I. Morales,62,77,,
A. Baker,62,73,,
S. Flinders,62,62,,
J. Matt,62,62,,
Lang Zheng,62,62,,
Y. Songo'o,62,64,,
K. Piedrahita,62,66,,
Martí Vilà,62,77,,
J. Murphy,62,62,,
Moncayola,62,71,,
Park Se Jik,62,62,,
J. Grimes,62,62,,
M. Pribula,62,62,,
Jung San,62,62,,
J. Campbell-Ryce,62,62,,
Y. Qasmi,62,62,,
F. Franks,62,63,,
C. Essers,62,67,,
Lee Min Soo,62,63,,
Rubén Sánchez,62,68,,
U. Nissilä,62,69,,
N. Raskin,62,82,,
C. Owens,62,73,,
S. Cleveland,62,68,,
T. Morishima,62,74,,
L. Öhman,62,65,,
S. Frederiksen,62,62,,
Z. Koné,62,63,,
B. Musa,62,62,,
F. Dady Ngoy,62,62,,
Y. Tatsuta,62,76,,
S. McCoulsky,62,70,,
R. Droehnle,62,76,,
R. Hatsuse,62,74,,
J. Branger-Engone,62,65,,
M. Goncalves,62,73,,
G. Vrioni,62,72,,
M. Pantović,62,70,,
D. Rosende,62,62,,
J. Brown,62,69,,
K. Al Kaabi,62,63,,
G. Zabret,62,72,,
Javi Rubio,62,74,,
M. Rose,62,62,,
J. Weir,62,69,,
Jeon Hyeon Chul,62,62,,
Park Sun Yong,62,62,,
C. Sierra,62,62,,
Martín,62,77,,
L. Zidane,62,71,,
H. Al Shamrani,62,73,,
Z. Jules,62,71,,
F. Kohls,62,70,,
M. Håkansson,62,63,,
G. Williams,62,67,,
B. Maguire,62,62,,
F. Mayer,62,76,,
S. Strand,62,67,,
D. Diaw,62,62,,
Toni Moya,62,78,,
J. Broh Tonye,62,71,,
D. Emmanouilidis,62,78,,
W. Hashimoto,62,62,,
I. Magnusson,62,75,,
Huang Zhengyu,62,73,,
B. Gladwin,62,64,,
B. Tutu,62,71,,
C. Huérfano,62,70,,
F. Delorenzi,62,75,,
M. Willsch,62,62,,
V. Savićević,62,67,,
L. Musonda,62,70,,
G. Gabedava,62,62,,
F. Onyeka,62,74,,
K. Machida,62,75,,
J. Sanchez,62,70,,
M. Cullen,62,65,,
R. Sutton,62,62,,
Bueno,62,69,,
A. Örn Arnarson,62,69,,
Viti,62,71,,
M. van Kins,62,73,,
Bae Jae Woo,62,66,,
M. Koné,62,65,,
B. Kapacak,62,77,,
M. Nalepa,62,70,,
Y. Minagawa,62,63,,
A. Kanibolotskyi,62,63,,
M. Cichocki,62,64,,
B. de Jong,62,66,,
C. Montano,62,62,,
Wang Shouting,62,62,,
A. Rossipal,62,68,,
Hélton Carvalhal,62,62,,
J. Nuttall,62,72,,
F. Russo,62,68,,
E. Hewitt,62,69,,
P. Akouokou,62,74,,
D. Burgzorg,62,76,,
H. Özkan,62,71,,
J. Mosquera,62,74,,
D. Butler,62,69,,
F. Illarregui,62,72,,
S. Friðjónsson,62,69,,
A. Dźwigała,62,68,,
S. Ormeño,62,66,,
N. Smith,62,65,,
J. Hoffmann,62,70,,
J. Gerezgiher,62,69,,
F. Senninger,62,69,,
J. Schneider,62,67,,
Y. Guzmán,62,78,,
E. Sanhueza,62,70,,
Samuel,62,74,,
M. Meneses,62,72,,
J. Kabongo,62,73,,
Du Jia,62,67,,
M. Pode,62,62,,
H. Gjesdal,62,67,,
R. Sattelmaier,62,62,,
M. Gillespie,62,65,,
P. Fontein,62,66,,
S. Ambri,62,73,,
J. Mauersberger,62,62,,
J. Sinisterra,62,75,,
J. Murray,62,69,,
N. Shipnoski,62,74,,
M. Demetriou,62,63,,
I. Bermingham,62,62,,
L. Valenti,62,76,,
M. Gueye,62,71,,
H. Abou Demba,62,63,,
M. Osores,62,72,,
H. Starostzik,62,64,,
R. Kitto,62,66,,
C. Porter,62,62,,
S. Mbakata,62,71,,
H. Muñoz,62,67,,
Rayco,62,71,,
Ander Barrenetxea,62,82,,
L. Dajaku,62,82,,
J. Gordon,62,66,,
V. Castellanos,62,79,,
J. Rose,62,67,,
H. Lewis,62,74,,
C. Ben Saada,62,62,,
Wu Qing,62,62,,
S. Sefil,62,71,,
I. Akinade,62,67,,
A. Mumin,62,73,,
J. Sheehan,62,69,,
E. Pletinckx,62,77,,
M. Maphangule,62,63,,
D. Caicedo,62,82,,
S. Giuliano,62,72,,
D. Haspolat,62,76,,
G. Glendon,62,65,,
B. Ntambwe,62,66,,
F. Mussa,62,72,,
A. Danek,62,66,,
R. Seager,62,69,,
S. Dieckmann,62,68,,
C. Whelan,62,78,,
N. Freeman,62,66,,
K. Dirks Riis,62,74,,
L. Shephard,62,66,,
B. Mugabi,62,66,,
T. Schmidt,62,64,,
S. Sprangler,62,70,,
D. Sosa,62,62,,
O. Lund,62,62,,
Fran Vieites,62,72,,
K. Jakob,62,75,,
T. Dierßen,62,70,,
Romero,62,70,,
L. Watkowiak,62,68,,
Li Tixiang,62,62,,
J. Karlström,62,68,,
R. Duffy,62,62,,
B. Mwila,62,66,,
L. O'Connor,62,82,,
E. Kane,62,71,,
Perera,62,73,,
J. Vásquez,62,76,,
M. Ashimeru,62,76,,
J. Villalba,62,77,,
Luis Perea,62,75,,
D. Olsen,62,62,,
Y. Arquin,62,62,,
M. Veloso,62,63,,
V. Méndez,62,72,,
R. Brewster,62,84,,
F. Dornebusch,62,67,,
L. Young,62,62,,
Iñaki Peña,62,80,,
L. Salas,62,74,,
P. López,62,75,,
A. Fontana,62,73,,
B. Bye,62,69,,
E. Opoku,62,69,,
F. Mac Allister,62,71,,
H. Toivomäki,62,63,,
Li Shuai,62,62,,
R. Hutton,62,74,,
J. Hauge,62,77,,
K. Brünker,62,69,,
P. Nguinda,62,69,,
M. Ambrosiewicz,62,70,,
Modest,62,70,,
N. Holland,62,75,,
H. Hosogai,62,62,,
J. Wind,62,78,,
Javi Alonso,62,78,,
M. Bauer,62,67,,
Arnau Gaixas,62,74,,
I. Wadji,62,71,,
B. Lozano,62,74,,
S. Tanser,62,66,,
O. Rodas,62,62,,
S. Barratt,62,67,,
Josep Martínez,62,75,,
Rafael Camacho,62,81,,
K. Junker,62,67,,
A. Vigo,62,75,,
Tachi,62,77,,
I. Anthony,62,68,,
L. Alzugaray,62,62,,
N. Gjorgjev,62,72,,
S. Brodersen,62,72,,
R. Udegbe,62,65,,
B. N'Gala,62,62,,
A. Condé,62,71,,
W. Balikwisha,62,75,,
M. Austin,62,62,,
S. van der Lei,62,68,,
Lin Chuangyi,62,65,,
Y. van Osch,62,74,,
Fachendinho,62,62,,
M. Gómez,62,76,,
A. Dabasse,62,64,,
C. Stefańczyk,62,62,,
J. Cranston,62,65,,
A. Berzel,62,64,,
A. Tabanelli,62,62,,
I. Zurita,62,62,,
L. Czyborra,62,78,,
B. Utvik,62,68,,
K. Wilson,62,74,,
João Valido,62,74,,
D. Mullen,62,66,,
T. Siedschlag,62,62,,
A. Sánchez,62,73,,
C. Sibbald,62,68,,
Nam Seung Woo,62,63,,
Park Hee Seong,62,62,,
S. Milošević,62,69,,
I. Baba,62,71,,
D. Sugimoto,62,66,,
C. Cisternas,62,62,,
C. Ogbene,62,72,,
S. Al Masrahi,62,62,,
D. Trichard,62,69,,
Rafinha,62,67,,
M. Sak,62,62,,
P. Caddis,62,62,,
J. Lorch,62,67,,
H. Shaian,62,62,,
D. Schütz,62,62,,
Abenza,62,69,,
Oscar Lozano,62,72,,
H. Cornick,62,70,,
M. Cubillos,62,69,,
K. Sarkodie,62,63,,
M. Herrera,62,77,,
D. Erdoğan,62,73,,
D. Al Qarni,62,62,,
M. Smith,62,78,,
J. Manns,62,64,,
J. Turnbull,62,70,,
D. Facchin,62,62,,
Javi Mier,62,76,,
U. Torres,62,73,,
K. Yamaguchi,62,71,,
J. Victoria,62,71,,
S. Fraser,62,71,,
Cao Yang,62,62,,
M. Carraro,62,74,,
A. Oviedo,62,69,,
M. Amundsen,62,75,,
A. Toufiqui,62,77,,
H. Suárez,62,70,,
Kim Hyo Gi,62,62,,
Marcos Antonio,62,82,,
Jon Bakero,62,67,,
J. Sinclair,62,73,,
N. Townsend,62,64,,
F. Nmecha,62,82,,
G. Asís,62,73,,
E. Valla Dønnem,62,62,,
L. Hodson,62,63,,
E. Ortega,62,72,,
M. Al Anazi,62,62,,
Yeo Seong Hae,62,62,,
M. Woolford,62,62,,
D. Watts,62,72,,
David Gil,62,67,,
S. Antonio,62,70,,
J. Ortíz,62,76,,
A. Poulsen,62,77,,
P. Mingoia,62,62,,
F. Wagner,62,71,,
Zhu Baojie,62,62,,
J. Williams,62,64,,
Pedro López,62,73,,
A. Porcino,62,71,,
Y. Kobayashi,62,62,,
G. Bartczak,62,62,,
A. Boniotti,62,67,,
T. Jovic,62,65,,
F. Ibargüen,62,69,,
L. Hurtado,62,69,,
M. Owusu,62,68,,
O. Hawsawi,62,66,,
J. Kayser,62,67,,
A. Khrees,62,62,,
R. Ljubicic,62,73,,
V. Belon,62,67,,
M. Mudryk,62,84,,
L. Ndukwu,62,77,,
L. Zigi,62,73,,
O. Zawada,62,67,,
P. Soiri,62,67,FC Admira Wacker Mödling,65
F. Cobos,62,65,,
M. Juel Andersen,62,69,,
Jo Jae Cheol,62,62,,
M. Al Amri,62,63,,
N. Jüllich,62,62,,
E. González,62,70,,
A. Abruscia,62,62,,
K. Ludewig,62,78,,
F. Sepúlveda,62,62,,
Carlos Neva,62,70,,
Vinicius,62,77,,
F. Jaramillo,62,70,,
L. Bengtsson,62,73,,
D. Gardner,62,62,,
H. Paul,62,67,,
T. Elšnik,62,73,,
H. Al Mansour,62,64,,
Hernáiz,62,69,,
E. Guerrero,62,64,,
A. Al Malki,62,67,,
L. Sowah,62,65,,
A. Aidonis,62,82,,
G. Miller,62,62,,
J. Tanganga,62,80,,
Wang Qiang,62,62,,
F. Garcia,62,62,,
H. Mörschel,62,72,,
Bruno Reis,62,74,,
L. Mosevich,62,74,,
F. Al Aiyaf,62,63,,
A. Calver,62,67,,
L. McCullough,62,69,,
F. Hart,62,62,,
I. Sissoko,62,68,,
R. Minor,62,62,,
N. Roa,62,66,,
A. Monsecour,62,69,,
K. Dankowski,62,72,,
R. Bingham,62,66,,
A. Semprini,62,72,,
J. Stead,62,62,,
J. Barrera,62,62,,
A. Pieper,62,70,,
J. McNulty,62,62,,
D. Montoya,62,69,,
R. Schlegel,62,74,,
L. Thomas,62,76,,
M. Lewandowski,62,63,,
C. Harold,62,63,,
B. Kyere,62,69,,
H. Türkmen,62,71,,
B. Haunstrup,62,73,,
B. Héry,62,65,,
M. Kamara,62,71,,
P. Bastianello,62,72,,
D. Johnson,62,78,,
K. Knoyle,62,69,,
Pepê,62,72,,
S. Walukiewicz,62,76,,
I. Escobar,62,69,,
Min Junlin,62,68,,
A. Berardi,62,62,,
Hou Sen,62,64,,
J. Dunne,62,62,,
T. Rojas,62,72,,
C. Rocchia,62,76,,
Kim Keun Hoan,62,62,,
S. McGinn,62,62,,
J. Salcedo,62,66,,
K. Memija,62,70,,
J. Hernández,62,71,,
K. Larson,62,63,,
M. Raynov,62,66,,
T. Campanini,62,70,,
T. Soares,62,62,,
M. Shabani,62,75,,
S. Gronsveld,62,69,,
M. Konradsen,62,69,,
G. Woods,62,63,,
K. Moreno,62,82,,
P. Retre,62,64,,
K. Marsh-Brown,62,63,,
S. Hendrie,62,66,,
C. Pérez,62,73,,
A. Wilbraham,62,62,,
A. Golec,62,62,,
D. Agyei,62,70,,
P. Kristensen,62,62,,
J. Łukowski,62,69,,
J. Labadie,62,62,,
A. Akinyemi,62,76,,
A. López,62,73,,
I. Alba,62,66,,
M. Hamoud,62,62,,
F. Hornby,62,81,,
Luís Silva,62,74,,
M. Maier,62,69,,
F. Buchacher,62,62,,
A. Nef,62,62,,
H. Bilal,62,74,,
M. Richards,62,62,,
A. Ahmed,62,62,,
A. Pikk,62,66,,
S. Morishita,62,62,,
Rubén Mesa,62,63,,
M. Solheim,62,62,,
R. Shinzato,62,63,,
A. Andersson,62,72,,
D. Sauerland,62,70,,
A. Hsissane,62,62,,
F. Venegas,62,75,,
A. Sorge,62,67,,
J. Calero,62,74,,
I. Al Zubaidi,62,62,,
F. Kusić,62,72,,
Kim Dong Min,62,67,,
A. Granlund,62,62,Finland,70
R. Flynn,62,62,,
Otaño,62,72,,
L. Banks,62,75,,
E. Rodríguez,62,63,,
F. Verde,62,78,,
S. Lauper,62,75,,
A. Dagriri,62,62,,
S. Nelson,62,62,,
C. Kobald,62,71,,
Thallyson,62,63,,
J. Möbius,62,72,,
M. Nicolas,62,76,,
P. Chato,62,70,,
N. Boxall,62,64,,
D. Sappa,62,69,,
Túlio Nevinha,62,62,,
A. Tveter,62,63,,
Wan Houliang,62,62,,
J. Cruz,62,73,,
A. Sosa,62,75,,
A. Kutucu,62,82,,
A. Taylor,62,62,,
O. Muzayil,62,64,,
R. Healey,62,69,,
A. Horwath,62,62,,
Bryan Gil,62,81,,
B. Lubala,62,75,,
T. Doyle,62,64,Wellington Phoenix,65
J. Kamber,62,63,,
M. Reuvers,62,71,,
M. Doucouré,62,79,,
T. Heintz,63,74,,
D. Reimann,63,73,,
R. Siemaszko,63,63,,
Bolaños,63,70,,
R. Tongyik,63,71,,
L. Corti,63,63,,
R. McCabe,63,65,,
C. Maboulou,63,63,,
F. Al Yamani,63,63,,
A. Skovgaard,63,73,,
J. Mountney,63,64,,
D. Kotarski,63,79,,
K. Magennis,63,76,,
A. Mora,63,71,,
T. Lebeau,63,73,,
D. Hümmet,63,68,,
D. Denić,63,73,,
P. Maronilli,63,75,,
O. Kudryk,63,73,,
Chema,63,75,,
A. Bangoura,63,71,,
F. Chabrolle,63,74,,
D. Lopar,63,63,,
S. Bywater,63,63,,
R. Guder,63,69,,
O. Balanta,63,63,,
D. Sterling,63,75,,
I. Djuric,63,63,,
M. Kallesøe,63,72,,
M. Drennan,63,68,,
B. Hanlan,63,73,,
Jang Dae Hee,63,71,,
Robert Costa,63,72,,
M. Mandron,63,70,,
H. Storbæk,63,63,,
M. Lode,63,67,,
C. Logan,63,63,,
F. Jagiełło,63,71,,
W. Jordán,63,63,,
J. Fehr,63,68,,
T. Ephestion,63,70,,
M. Done,63,63,,
C. Lindquist,63,71,,
C. Dummigan,63,72,,
C. Hinestroza,63,63,,
J. Vásquez,63,68,,
M. Salas,63,73,,
Park Hyeong Jin,63,63,,
A. Andrianarimanana,63,64,,
D. Barreto,63,67,,
A. Al Barakah,63,64,,
T. Vincensini,63,69,,
F. Camara,63,72,,
D. Soto,63,78,,
R. Lamie,63,67,,
F. Zoko,63,63,,
De Nova,63,70,,
A. Ibrahimaj,63,63,,
Josín,63,72,,
A. Al Suwat,63,68,,
M. Penney,63,76,,
A. Ferati,63,74,,
V. Bindia,63,63,,
L. Krogh Gerson,63,63,,
H. Mashiane,63,77,,
R. Herrmann,63,66,,
Kim Joon Hyeong,63,71,,
M. Traore,63,67,,
D. Tshiembe,63,66,,
J. Lungi Sørensen,63,74,,
M. Ristl,63,70,,
E. Bwomono,63,76,,
L. Waterfall,63,64,,
F. Azemi,63,65,,
Juan Hernández,63,69,,
A. Nouri,63,71,,
D. Wiebe,63,66,,
M. Stoll,63,63,,
B. Babiarz,63,63,,
Robinho,63,68,,
J. Simpson,63,73,,
C. Cangá,63,63,,
J. O'Brien,63,63,,
P. Pomykal,63,78,,
