home_team,away_team,home_score,home_penalty,away_score,away_penalty,Year,Round,Winner
England,Chile,2,NA,0,NA,1950,Group stage,England
Spain,United States,3,NA,1,NA,1950,Group stage,Spain
Yugoslavia,Switzerland,3,NA,0,NA,1950,Group stage,Yugoslavia
Brazil,Mexico,4,NA,0,NA,1950,Group stage,Brazil
Brazil,Sweden,4,NA,2,NA,1938,Third-place match,Brazil
Italy,Hungary,4,NA,2,NA,1938,Final,Italy
Hungary,Sweden,5,NA,1,NA,1938,Semi-finals,Hungary
Italy,Brazil,2,NA,1,NA,1938,Semi-finals,Italy
Brazil,Czechoslovakia,2,NA,1,NA,1938,Quarter-finals,Brazil
Sweden,Cuba,8,NA,0,NA,1938,Quarter-finals,Sweden
Brazil,Czechoslovakia,1,NA,1,NA,1938,Quarter-finals,Tie
Hungary,Switzerland,2,NA,0,NA,1938,Quarter-finals,Hungary
Italy,France,3,NA,1,NA,1938,Quarter-finals,Italy
Switzerland,Germany,4,NA,2,NA,1938,Round of 16,Switzerland
Cuba,Romania,2,NA,1,NA,1938,Round of 16,Cuba
Italy,Norway,2,NA,1,NA,1938,Round of 16,Italy
Cuba,Romania,3,NA,3,NA,1938,Round of 16,Tie
Hungary,Dutch East Indies,6,NA,0,NA,1938,Round of 16,Hungary
France,Belgium,3,NA,1,NA,1938,Round of 16,France
Brazil,Poland,6,NA,5,NA,1938,Round of 16,Brazil
Czechoslovakia,Netherlands,3,NA,0,NA,1938,Round of 16,Czechoslovakia
Switzerland,Germany,1,NA,1,NA,1938,Round of 16,Tie
Italy,Czechoslovakia,2,NA,1,NA,1934,Final,Italy
Germany,Austria,3,NA,2,NA,1934,Third-place match,Germany
Czechoslovakia,Germany,3,NA,1,NA,1934,Semi-finals,Czechoslovakia
Italy,Austria,1,NA,0,NA,1934,Semi-finals,Italy
Italy,Spain,1,NA,0,NA,1934,Quarter-finals,Italy
Austria,Hungary,2,NA,1,NA,1934,Quarter-finals,Austria
Czechoslovakia,Switzerland,3,NA,2,NA,1934,Quarter-finals,Czechoslovakia
Italy,Spain,1,NA,1,NA,1934,Quarter-finals,Tie
Germany,Sweden,2,NA,1,NA,1934,Quarter-finals,Germany
Czechoslovakia,Romania,2,NA,1,NA,1934,Round of 16,Czechoslovakia
Hungary,Egypt,4,NA,2,NA,1934,Round of 16,Hungary
Austria,France,3,NA,2,NA,1934,Round of 16,Austria
Switzerland,Netherlands,3,NA,2,NA,1934,Round of 16,Switzerland
Sweden,Argentina,3,NA,2,NA,1934,Round of 16,Sweden
Spain,Brazil,3,NA,1,NA,1934,Round of 16,Spain
Germany,Belgium,5,NA,2,NA,1934,Round of 16,Germany
Italy,United States,7,NA,1,NA,1934,Round of 16,Italy
Uruguay,Argentina,4,NA,2,NA,1930,Final,Uruguay
Uruguay,Yugoslavia,6,NA,1,NA,1930,Semi-finals,Uruguay
Argentina,United States,6,NA,1,NA,1930,Semi-finals,Argentina
Argentina,Chile,3,NA,1,NA,1930,Group stage,Argentina
Uruguay,Romania,4,NA,0,NA,1930,Group stage,Uruguay
Brazil,Bolivia,4,NA,0,NA,1930,Group stage,Brazil
Paraguay,Belgium,1,NA,0,NA,1930,Group stage,Paraguay
Chile,France,1,NA,0,NA,1930,Group stage,Chile
Argentina,Mexico,6,NA,3,NA,1930,Group stage,Argentina
Uruguay,Peru,1,NA,0,NA,1930,Group stage,Uruguay
Yugoslavia,Bolivia,4,NA,0,NA,1930,Group stage,Yugoslavia
United States,Paraguay,3,NA,0,NA,1930,Group stage,United States
Chile,Mexico,3,NA,0,NA,1930,Group stage,Chile
Argentina,France,1,NA,0,NA,1930,Group stage,Argentina
Yugoslavia,Brazil,2,NA,1,NA,1930,Group stage,Yugoslavia
Romania,Peru,3,NA,1,NA,1930,Group stage,Romania
United States,Belgium,3,NA,0,NA,1930,Group stage,United States
France,Mexico,4,NA,1,NA,1930,Group stage,France
